district,county_id,county,rep,dem,neighbors
36,1,Angelina,19844,7634,"4,8,319,293,322,50,46"
1,2,Gregg,28651,11849,"3,6,10,32"
1,3,Harrison,17077,8072,"2,6,5,26,32"
1,4,Nacogdoches,13578,6063,"6,9,8,1,35"
1,5,Panola,7556,2288,"3,6,9"
1,6,Rusk,13744,4184,"2,3,5,9,4,10,35"
1,7,Sabine,3411,883,"9,8,319,325"
1,8,San Augustine,2256,1179,"7,9,4,1,319"
1,9,Shelby,6392,2364,"5,6,4,8,7"
1,10,Smith,56950,20475,"13,12,2,6,35,36,38,39"
1,12,Upshur,3344,945,"10,13,32"
1,13,Wood,5519,1286,"10,12,32,17,21,39"
2,14,Harris,159664,80512,"321,294,263,160,54,44,61,52,48"
3,15,Collin,187180,0,"33,243,229,230,266,200"
4,16,Bowie,24020,9624,"29,27,18"
4,17,Camp,2740,1391,"21,31,27,32,13"
4,18,Cass,8250,3066,"16,27,26"
4,19,Delta,1479,447,"25,23,24,20"
4,20,Fannin,7772,2534,"22,33,24,19,25"
4,21,Franklin,3265,737,"29,31,17,13,39,23"
4,22,Grayson,29780,10153,"20,33,243,104"
4,23,Hopkins,9056,3096,"19,21,39,28,24"
4,24,Hunt,20441,6097,"20,19,23,28,38,37,30,33"
4,25,Lamar,12283,4098,"20,19,29"
4,26,Marion,2599,1443,"18,27,32,3"
4,27,Morris,2996,1807,"29,16,18,26,32,17,31"
4,28,Rains,3181,734,"24,23,39,38"
4,29,Red River,3342,1404,"25,21,31,27,16"
4,30,Rockwall,27053,6657,"33,24,37,266,267"
4,31,Titus,5846,2581,"29,27,17,21"
4,32,Upshur,8258,1961,"27,17,26,13,12,2,3"
4,33,Collin,10318,2384,"22,20,24,30,266,15,243"
5,34,Anderson,11870,3724,"36,35,46,159,152"
1,35,Cherokee,11529,3824,"36,34,46,1,4,6,10"
5,36,Henderson,20710,5951,"37,38,10,35,34,41,42"
5,37,Kaufman,24305,9043,"40,41,36,38,24,30"
5,38,Van Zandt,15064,3056,"37,24,28,39,10,36"
5,39,Wood,8306,1757,"28,23,21,13,10,38"
5,40,Dallas,42307,41823,"267,37,41,264"
6,41,Ellis,38211,13215,"264,43,238,237,42,36"
17,42,Navarro,10560,4080,"41,237,153,152,36"
6,43,Tarrant,96248,80758,"95,269,330,264,41,238,334"
7,44,Harris,142793,85553,"61,296,54,14"
8,45,Grimes,5958,2256,"47,51,48,59,60,149"
8,46,Houston,5550,2229,"53,47,51,50,1,35,34,159"
8,47,Madison,2924,997,"46,51,45,53,149"
8,48,Montgomery,137625,30004,"45,51,49,321,14,52,61,59"
8,49,San Jacinto,6839,2315,"50,51,48,321,322"
8,50,Trinity,4131,1566,"46,51,49,322,1"
8,51,Walker,12305,5561,"47,46,50,49,48,45"
8,52,Harris,16056,5632,"48,61,14"
8,53,Leon,2655,491,"159,46,47,156"
9,54,Harris,24855,103112,"44,14,263,160,295,296,55"
9,55,Fort Bend,11284,40963,"54,296"
10,56,Austin,9188,2000,"60,59,58,57,296,253"
27,57,Colorado,5671,1911,"56,58,253,247,248"
10,58,Fayette,7732,2247,"57,56,60,62,64,254,298,248"
10,59,Waller,9447,6239,"60,56,61,296,45,48"
10,60,Washington,10866,3013,"56,58,62,59,45,149,150"
10,61,Harris,68540,22459,"59,48,52,14,44,296"
10,62,Lee,3045,993,"60,58,64,157,150"
10,63,Travis,37493,51400,"64,158,265,241,283"
10,64,Bastrop,7801,5448,"63,299,157,62,58,254"
11,65,Andrews,3626,664,"74,84,81,167,225"
11,66,Brown,11485,1898,"69,67,73,70,85,89,80"
11,67,Callahan,4125,791,"69,66,73,181,183"
11,68,Coke,1191,164,"86,90,91,88,178"
11,69,Coleman,2856,468,"67,66,80,71,88,183"
11,70,Comanche,3779,888,"66,85,73,307,331,236"
11,71,Concho,789,173,"91,88,69,80,83"
19,72,Dawson,2577,869,"81,167,184,177,162"
11,73,Eastland,5108,1090,"92,67,66,70,307,87"
11,74,Ector,24065,7335,"65,84,221,202,224,225"
11,75,Glasscock,526,29,"81,84,90,172,216"
11,76,Hood,17494,3855,"87,307,93,238,240"
11,77,Irion,650,103,"91,216,203,218"
23,78,Kimble,1590,198,"83,82,193,195,206,219"
11,79,Llano,7445,1683,"89,82,233,192,193"
11,80,McCulloch,2368,470,"69,71,83,82,89,66"
11,81,Martin,1349,222,"72,65,84,75,172"
11,82,Mason,1511,366,"80,83,78,89,79,193"
11,83,Menard,671,161,"71,80,82,78,218"
11,84,Midland,35322,7238,"81,65,74,75,221"
11,85,Mills,1798,287,"70,66,89,236,239"
19,86,Mitchell,1681,486,"90,68,178,180,172"
11,87,Palo Pinto,6849,1946,"92,73,307,76,93,188,187,118"
11,88,Runnels,3030,511,"68,91,71,69,183,178"
11,89,San Saba,1851,287,"66,85,80,82,79,239,233"
11,90,Sterling,444,33,"75,86,68,91,172,216"
11,91,Tom Green,26720,8233,"90,216,77,68,88,71,218"
11,92,Stephens,1781,458,"73,87,181,188"
25,307,Erath,5061,1064,"73,87,76,70,331"
12,93,Parker,39870,6632,"87,76,95,94,118,135,238"
12,94,Wise,6278,1183,"93,95,243,135"
12,95,Tarrant,129501,58265,"93,94,243,244,231,269,43,238"
13,96,Archer,3642,0,"133,98,102,118,187"
13,97,Armstrong,813,0,"100,109,99,131,128"
13,98,Baylor,1304,0,"96,134,110,120,185"
13,99,Briscoe,574,0,"97,109,112,124,136,100"
13,100,Carson,2442,0,"97,111,117,127"
13,101,Childress,1678,0,"103,112,105,114"
13,102,Clay,4295,0,"133,96,118,122"
13,103,Collingsworth,974,0,"101,112,109,132"
13,104,Cooke,11628,0,"122,135,243,22"
13,105,Cottle,560,0,"101,112,124,119,110,000"
13,106,Dallam,1321,0,"115,130"
13,107,Deaf Smith,3314,0,"126,128,163,179"
13,108,Dickens,805,0,"124,119,165,174"
13,109,Donley,1354,0,"97,99,112,103,111"
13,110,Foard,345,0,"105,114,134,98,120,119"
13,111,Gray,6527,0,"129,100,109,132"
13,112,Hall,881,0,"109,103,101,105,124,99"
13,113,Hansford,1782,0,"130,117,125"
13,114,Hardeman,1224,0,"101,105,110,134"
13,115,Hartley,1724,0,"106,123,126"
13,116,Hemphill,1344,0,"121,129,132"
13,117,Hutchinson,6889,0,"113,123,100,129"
13,118,Jack,2522,0,"102,122,135,93,87,96,187"
13,119,King,127,0,"105,110,120,108,182"
13,120,Knox,1191,0,"119,110,98,170"
13,121,Lipscomb,1043,0,"125,116"
13,122,Montague,6460,0,"102,118,135,104"
13,123,Moore,4119,0,"130,115,127,117"
13,124,Motley,508,0,"99,112,105,108,136,100"
13,125,Ochiltree,2771,0,"113,121,129"
13,126,Oldham,802,0,"115,107,127"
13,127,Potter,19858,0,"123,126,128,100"
13,128,Randall,42462,0,"127,107,97,131,163"
13,129,Roberts,479,0,"125,117,111,116"
13,130,Sherman,899,0,"106,123,113"
13,131,Swisher,1730,0,"128,97,99,136,169,163"
13,132,Wheeler,1879,0,"116,111,103"
13,133,Wichita,31050,0,"134,96,102"
13,134,Wilbarger,3107,0,"114,110,98,133"
13,135,Wise,10643,0,"122,118,93,94,104,243"
13,136,Floyd,705,0,"131,99,124,189,169"
14,137,Galveston,62708,44090,"139,295,200,294,323,"
14,138,Jefferson,35636,51209,"291,287,321,323"
14,139,Brazoria,33116,14398,"137,295,296,253,249"
15,140,Brooks,322,2026,"143,141,147,256,274,000,000"
15,141,Duval,608,3487,"140,143,145,257,255,000"
34,142,Guadalupe,24867,11367,"332,259,261,329,280,000,000,000,000,000"
15,143,Jim Hogg,191,1394,"141,140,256,258,257"
15,144,Karnes,2189,1709,"332,145,259,301,270,000,000,000"
15,145,Live Oak,2741,1146,"144,141,301,255,270,000,000"
15,147,Hidalgo,22060,67802,"140,256,260,275,277,000,000"
15,332,Wilson,1078,365,"142,144,259,281"
16,148,El Paso,51043,101403,"227,208"
8,149,Brazos,39344,0,"156,150,60,45,47"
17,150,Burleson,4791,0,"149,156,155,157,62,60"
17,151,Falls,3442,0,"302,154,153,156,155"
17,152,Freestone,5360,0,"153,159,34,42"
17,153,Limestone,5312,0,"152,159,156,151,154,42,237"
17,154,McLennan,51474,0,"153,151,237,232,234,000"
17,155,Milam,5599,0,"151,156,150,157,265,000"
17,156,Robertson,4711,0,"153,159,149,150,155,000"
17,157,Lee,1291,0,"155,150,299,62,64,265"
17,158,Travis,18693,0,"63,299,265"
17,159,Leon,3028,0,"152,153,156,34,46,53,"
17,299,Bastrop,239,0,"158,157,265,64"
18,160,Harris,44015,146223,"263,54,14"
19,161,Bailey,1429,0,"179,175,164"
19,162,Borden,313,0,"172,72,177,168,180"
19,163,Castro,1539,0,"179,175,169,131,128,000"
19,164,Cochran,718,0,"161,171,186"
19,165,Crosby,1235,0,"168,176,189,108"
19,166,Fisher,1064,0,"178,173,182,174,180"
19,167,Gaines,3457,0,"186,184,72,65"
19,168,Garza,1287,0,"177,162,180,174,165"
19,169,Hale,6791,0,"175,176,189,136,131,000"
19,170,Haskell,1407,0,"182,173,181,185,120"
19,171,Hockley,5680,0,"164,184,176,175"
19,172,Howard,6756,0,"81,75,86,162,90"
19,173,Jones,4135,0,"166,183,181,170,182"
19,174,Kent,313,0,"168,180,166,182,108"
19,175,Lamb,3242,0,"161,171,163,169,179"
19,176,Lubbock,65283,0,"171,177,165,169"
19,177,Lynn,1493,0,"72,162,168,176,184"
19,178,Nolan,3301,0,"86,68,88,183,166"
19,179,Parmer,2094,0,"161,175,163,107"
19,180,Scurry,4062,0,"162,168,174,166,86"
19,181,Shackelford,1178,0,"67,92,188,185,170,173"
19,182,Stonewall,466,0,"174,166,173,170,119"
19,183,Taylor,32799,0,"178,173,67,69,88"
19,184,Terry,2868,0,"186,171,177,72,167"
19,185,Throckmorton,636,0,"170,181,188,187,98"
19,186,Yoakum,1756,0,"164,184,167"
19,187,Young,6239,0,"185,188,87,118,96"
19,188,Stephens,811,0,"181,185,187,87,92"
19,189,Floyd,887,0,"169,165,124,136"
20,190,Bexar,62376,119032,"305,279,197"
21,191,Bandera,7359,1737,"196,195,194,305,213,000"
21,192,Blanco,3536,1157,"193,194,199,242,241,233,79"
21,193,Gillespie,10101,1916,"195,194,192,79,82,78"
21,194,Kendall,14205,2770,"195,193,192,191,199,000"
21,195,Kerr,16827,4018,"196,191,194,193,78,206"
21,196,Real,1208,248,"195,191,222,206"
21,197,Bexar,66704,35249,"199,305,190,279"
21,198,Hays,9109,6504,"242,199,306,284"
21,199,Comal,32218,7382,"194,192,242,198,280,000,000"
21,306,Travis,25748,48345,"241,283,198"
14,200,Harris,18326,11298,"263,294,137,295"
22,295,Brazoria,35997,17842,"200,54,296,139,137,263"
22,296,Fort Bend,106345,51063,"253,139,55,295,44,54,61,59,56"
23,201,Brewster,1487,2233,"215,209,214,220"
23,202,Crane,907,286,"224,214,203,221,74"
23,203,Crockett,779,574,"214,220,223,219,218,77,216,221,202"
23,204,Culberson,233,499,"208,209,217"
23,205,Dimmit,626,2047,"212,226,228,257"
23,206,Edwards,558,230,"219,223,210,222,196,195,78"
23,207,Frio,1279,2333,"213,226,228,301"
23,208,Hudspeth,389,421,"204,209,227,148"
23,209,Jeff Davis,501,646,"208,204,217,214,201,000"
23,210,Kinney,727,589,"223,206,222,212"
23,211,Loving,42,15,"217,224,225"
23,212,Maverick,1748,8040,"210,226,205,257"
23,213,Medina,9982,5008,"222,207,305,191,301"
23,214,Pecos,2045,1941,"217,224,202,203,220,000,000"
23,215,Presidio,491,1290,"209,201"
23,216,Reagan,629,149,"221,203,77,90,91,75"
23,217,Reeves,972,1746,"211,224,214,209,204"
23,218,Schleicher,695,243,"203,219,83,91,77"
23,219,Sutton,988,398,"218,203,223,206,78"
23,220,Terrell,254,267,"214,203,223,201"
23,221,Upton,792,349,"202,203,216,84,74"
23,222,Uvalde,3823,4108,"210,226,213,191,196,000"
23,223,Val Verde,4545,6900,"220,203,219,206,210"
23,224,Ward,2030,1050,"225,211,217,214,202,74"
23,225,Winkler,1191,424,"211,224,74,65"
23,226,Zavala,499,2815,"212,205,207,222"
23,227,El Paso,2605,11506,"148,208"
23,228,La Salle,507,835,"333,255,207,205"
23,305,Bexar,46223,39734,"190,197,279,261,301,000,000,000,000"
3,229,Denton,22899,14319,"243,230,15"
24,230,Dallas,54919,42646,"231,330,264,267,15,229,243,400"
24,231,Tarrant,70768,30680,"230,243,244,95,269,400"
25,232,Bosque,5429,1474,"240,331,236,234,154,000,000"
25,233,Burnet,12261,3622,"239,302,265,241,192,79,89"
25,234,Coryell,10573,5026,"239,236,232,154,302,000"
25,236,Hamilton,2678,627,"239,234,232,331,70,85"
25,237,Hill,8684,3015,"232,238,41,42,153,154"
25,238,Johnson,35810,10356,"240,232,237,41,43,334,95,76,93"
25,239,Lampasas,5421,1468,"233,302,234,236,85,89"
25,240,Somervell,2655,602,"331,232,238,76"
25,241,Travis,49847,60080,"233,265,63,283,306,242,192"
25,242,Hays,12594,6757,"198,241,192,199"
25,314,Bell,1937,4302,"302,234"
25,331,Erath,4582,928,"236,232,240,307,70"
25,334,Tarrant,1774,570,"238,43"
26,400,Dallas,129,76,"243,230,231"
26,243,Denton,134859,59184,"135,94,244,95,231,230,229,15,33,22,104,400"
26,244,Tarrant,41654,14977,"243,95,231"
34,245,Aransas,6545,2591,"250,308,251,246"
27,246,Calhoun,3466,2574,"245,251,252,247,249"
27,247,Jackson,3367,1136,"252,246,249,253,248,57"
27,248,Lavaca,5849,1683,"247,57,58,298,272,252"
27,249,Matagorda,6833,4293,"253,247,246,139"
34,250,Nueces,46897,45115,"308,245,276,274"
27,251,Refugio,1536,1053,"308,245,246,252,273,000"
27,252,Victoria,16929,8774,"248,247,246,251,273,000"
27,253,Wharton,9039,4357,"247,249,139,296,56,57"
27,254,Bastrop,5177,3756,"300,58,64,283"
27,298,Gonzales,2685,1295,"300,281,142,272,248,58"
27,300,Caldwell,3237,2313,"298,254,283,285,142"
27,308,San Patricio,9124,4455,"251,245,250,282,270,000"
28,255,McMullen,257,186,"301,145,141,333,228"
15,256,Starr,843,10371,"258,260,147,140,143,"
28,257,Webb,4707,42864,"212,205,333,258,141,000"
28,258,Zapata,373,2994,"257,143,256"
28,259,Wilson,9026,5815,"261,301,144,332,142"
15,260,Hidalgo,5334,16924,"256,147"
28,261,Bexar,23130,26605,"259,142,329,279,305,000"
28,301,Atascosa,5608,6554,"261,305,259,144,145,000,000,000"
28,333,La Salle,31,143,"257,255,228"
29,263,Harris,0,86053,"54,160,14,294,295,200"
30,264,Dallas,41222,171059,"330,230,267,40,41,43"
31,265,Williamson,96842,55111,"302,233,241,63,158,155,157,299"
31,302,Bell,48506,27866,"265,314,233,239,234,000,000,000"
4,266,Collin,10365,5190,"15,33,30,267"
32,267,Dallas,136288,94098,"266,15,230,264,40,30"
33,269,Tarrant,12705,48724,"43,95,231,330"
33,330,Dallas,17547,36390,"269,43,230,264"
34,270,Bee,4112,3214,"273,282,144,145,251,000"
34,271,Cameron,23723,50200,"278,147,277"
34,272,DeWitt,4945,1269,"281,273,144,298,248,000"
34,273,Goliad,2136,973,"272,270,144,251,252"
34,274,Jim Wells,4095,6520,"276,282,140,141,145,000,000"
34,275,Kenedy,82,69,"276,277,140,147"
34,276,Klegberg,3920,4467,"275,274,140,250"
34,277,Willacy,1283,3360,"275,271,147"
34,278,Hidalgo,4740,15780,"147,271"
34,281,Gonzales,1162,407,"298,272,142,332,144"
34,282,San Patricio,2250,3347,"308,270,274,145"
35,279,Bexar,23021,49871,"197,280,261,305,190"
35,280,Comal,5852,3322,"199,279,329,284,142"
27,283,Travis,7391,34604,"284,306,241,63,300,254"
35,284,Hays,8276,11711,"285,283,280,198"
35,285,Caldwell,1952,2899,"284,142,300"
35,329,Guadalupe,6402,3219,"142,280,261"
36,287,Hardin,16861,3512,"321,322,293,319,291,000"
36,291,Orange,21568,7367,"287,319,325,138"
36,293,Tyler,5392,1784,"322,287,319,1"
36,294,Harris,68582,31364,"323,321,14,263,200,137"
36,319,Jasper,9121,3563,"293,287,291,325,1,8,7"
36,321,Liberty,16182,5249,"322,287,323,294,138,14,48,49"
36,322,Polk,13107,4737,"321,287,293,1,50,49"
36,323,Chambers,11093,2702,"321,294,138,137"
36,325,Newton,3499,1865,"319,291,7"
